NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
K-Market Keitele;Keiteleentie 3;72600;Keitele;Keitele;22.04.2021;Vähittäismyyntilupa/max. 5.5 %;3192540-1
K-Market Kekkolantie;Kekkolantie 31;40520;Jyväskylä;Jyväskylä;07.08.2017;Vähittäismyyntilupa/max. 5.5 %;2152589-3
K-Market Kello;Kellonkaupantie 1;90820;Kello;Oulu;05.03.2017;Vähittäismyyntilupa/max. 5.5 %;2812311-7
K-Market Keravan asema;Paasikivenkatu 13;04200;Kerava;Kerava;15.01.2018;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Kerma;Kermantie 1;79700;Heinävesi;Heinävesi;01.12.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Kerttuli;Kerttulinkatu 13;20500;Turku;Turku;21.08.2017;Vähittäismyyntilupa/max. 5.5 %;2841279-5
K-Market Keskipiste;Frosteruksenkatu 3;86710;Kärsämäki;Kärsämäki;10.12.2012;Vähittäismyyntilupa/max. 5.5 %;2161832-8
K-Market Keskuspuistokatu;Keskuspuistonkatu 17;94100;Kemi;Kemi;17.08.2017;Vähittäismyyntilupa/max. 5.5 %;2087732-8
K-Market Kimara;Kauppatie 4;66300;Jurva;Kurikka;23.07.1976;Vähittäismyyntilupa/max. 5.5 %;0398293-5
K-Market Kinkomaa;Liikekuja 4;40930;Kinkomaa;Muurame;01.02.2022;Vähittäismyyntilupa/max. 5.5 %;2664942-2
K-Market Kinuski;Keskustie 41;43900;Kinnula;Kinnula;01.10.2007;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Kippari;Toritie 53;17800;Kuhmoinen;Kuhmoinen;01.02.2018;Vähittäismyyntilupa/max. 5.5 %;2873995-8
K-Market Kirkkokatu;Kirkkokatu 5;57100;Savonlinna;Savonlinna;09.09.2019;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Kirsikka;Holmantie 2;95450;Tornio;Tornio;27.02.1980;Vähittäismyyntilupa/max. 5.5 %;0983131-0
K-Market Kisahalli;Mannerheimintie 70;00250;Helsinki;Helsinki;05.06.2017;Vähittäismyyntilupa/max. 5.5 %;2832680-3
K-Market Kivikangas;Sammonkatu 2;94600;Kemi;Kemi;27.11.2017;Vähittäismyyntilupa/max. 5.5 %;2854647-8
K-Market Kivikartio;Kivikartiontie 1;20720;Turku;Turku;01.07.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Kivikko;Kivikonkaari 30;00940;Helsinki;Helsinki;06.03.2017;Vähittäismyyntilupa/max. 5.5 %;2111305-5
K-Market Kivistö;Ruusukvartsinkatu 6;01700;Vantaa;Vantaa;23.01.2022;Vähittäismyyntilupa/max. 5.5 %;3250504-6
K-Market Knuutilankangas;Maasälväntie 2;90240;Oulu;Oulu;21.05.2018;Vähittäismyyntilupa/max. 5.5 %;2910829-3
K-Market Kokinvuori;Porekatu 3;21200;Raisio;Raisio;09.01.2017;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Kokkokangas;Haukkakaarto 11;90450;Kempele;Kempele;01.11.2022;Vähittäismyyntilupa/max. 5.5 %;3293168-6
K-Market Kolari;Asematie 1;95900;Kolari;Kolari;11.02.2013;Vähittäismyyntilupa/max. 5.5 %;2509136-7
K-Market Komiaho;Kisatie 30;87250;Kajaani;Kajaani;01.09.2015;Vähittäismyyntilupa/max. 5.5 %;2702119-4
K-Market Konnevesi;Kauppatie 28;44300;Konnevesi;Konnevesi;01.02.2016;Vähittäismyyntilupa/max. 5.5 %;2731855-3
K-Market Kontiomäki;Viitostie 2;88470;Kontiomäki;Paltamo;15.10.1992;Vähittäismyyntilupa/max. 5.5 %;0892069-6
K-Market Korela;Peurantie 5;48230;Kotka;Kotka;07.09.2021;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Koria;Kyminasemantie 6;45610;Koria;Kouvola;08.03.2020;Vähittäismyyntilupa/max. 5.5 %;3116394-5
K-Market Korintti;Puistokatu 4;32200;Loimaa;Loimaa;01.06.2020;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Korkalovaara;Hillapolku 9;96500;Rovaniemi;Rovaniemi;24.04.2017;Vähittäismyyntilupa/max. 5.5 %;2803517-6
K-Market Korpilahti;Joensuuntie 2;41800;Korpilahti;Jyväskylä;17.11.2020;Luovutuspaikka;1505551-4
K-Market Korpilahti;Korpilahdentie 13;41800;Korpilahti;Jyväskylä;29.04.2021;Luovutuspaikka;1505551-4
K-Market Korpilahti;Korpilahdentie 13;41800;Korpilahti;Jyväskylä;30.03.2021;Vähittäismyyntilupa/max. 5.5 %;2854909-7
K-Market Korpo Handel;Köpmansvägen 1;21710;Korppoo;PARAINEN;01.03.2008;Vähittäismyyntilupa/max. 5.5 %;2160790-1
K-Market Koskela;Tullimiehentie 2;90560;Oulu;Oulu;28.11.2016;Vähittäismyyntilupa/max. 5.5 %;2780635-4
K-Market Kruunu;Kuusitie 2;58500;Punkaharju;Savonlinna;18.12.2019;Luovutuspaikka;1505551-4
K-Market Kruunu;Kuusitie 2;58500;Punkaharju;Savonlinna;01.04.2023;Vähittäismyyntilupa/max. 5.5 %;2565305-9
K-Market Kruunuvuorenranta;Saaristolaivastonkatu 11;00590;Helsinki;Helsinki;01.04.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Kuha;Keskustie 30;41520;Hankasalmi;Hankasalmi;14.09.2020;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Kuivasjärvi;Kuovitie 7;90540;Oulu;Oulu;17.12.2006;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Kullervonkatu;Kullervonkatu 9;33100;Tampere;Tampere;01.08.2018;Vähittäismyyntilupa/max. 5.5 %;2921857-2
K-Market Kulomäki;Maauuninpolku;01450;Vantaa;Vantaa;20.11.2021;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Kumpula;Kumpulantie 1;33610;Tampere;Tampere;01.02.2019;Vähittäismyyntilupa/max. 5.5 %;2961698-4
K-Market Kuninkaanherkku;Suurpellontie 2;07700;Koskenkylän Saha;Loviisa;01.04.2021;Luovutuspaikka;1505551-4
K-Market Kuninkaanherkku;Suurpellontie 2;07700;Koskenkylän Saha;Loviisa;01.04.2021;Vähittäismyyntilupa/max. 5.5 %;3194376-5
K-Market Kuokkalanpelto;Kiulu 2;40520;Jyväskylä;Jyväskylä;04.09.2017;Vähittäismyyntilupa/max. 5.5 %;2152589-3
K-Market Kuortane;Keskustie 43;63100;Kuortane;Kuortane;18.09.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Kurkimäki;Kurjenkellonkuja 2;00940;Helsinki;Helsinki;25.01.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Kuru;Virastotie 2;34300;Kuru;Ylöjärvi;01.02.2018;Vähittäismyyntilupa/max. 5.5 %;2877782-3
K-Market Kuurinniitty;Kuurinmäki 1;02750;Espoo;Espoo;09.03.2017;Vähittäismyyntilupa/max. 5.5 %;2627364-8
K-Market Kuusamo;Kitkantie 1;93600;Kuusamo;Kuusamo;14.12.2022;Vähittäismyyntilupa/max. 5.5 %;1571498-9
K-Market Kuusankoski;Väkevänkuja 1;45700;Kuusankoski;Kouvola;01.03.2020;Vähittäismyyntilupa/max. 5.5 %;3116394-5
K-Market Kuusilahdentie;Kuusilahdentie 2;65280;Vaasa;Vaasa;15.09.2020;Vähittäismyyntilupa/max. 5.5 %;2738667-9
K-Market Kyllikinkatu;Kyllikinkatu 1;78870;Varkaus;Varkaus;01.04.2023;Vähittäismyyntilupa/max. 5.5 %;3339277-6
K-Market Kyläsaari;Mörtintie 1;28760;Pori;Pori;01.09.2022;Vähittäismyyntilupa/max. 5.5 %;2399242-8
K-Market Kylätähti;Vanhatie 37;18300;Heinola Kk;Heinola;23.01.2022;Vähittäismyyntilupa/max. 5.5 %;3254443-2
K-Market Kypärämäki;Kypärätie 22;40630;Jyväskylä;Jyväskylä;31.07.2017;Vähittäismyyntilupa/max. 5.5 %;2824681-1
K-Market Kyrö;Sahatie 1;21800;Kyrö;Pöytyä;04.01.2019;Vähittäismyyntilupa/max. 5.5 %;2956775-6
K-Market Kyrölä;Puistotie 33;04420;Järvenpää;Järvenpää;20.10.2021;Vähittäismyyntilupa/max. 5.5 %;2656376-8
K-Market Kyröskoski;Torikatu 8;39200;Kyröskoski;Hämeenkyrö;01.03.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Käikälä;Mantereenlinnantie 3;13300;Hämeenlinna;Hämeenlinna;01.12.2021;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Kälviä;Ullavantie 33;68300;Kälviä;Kokkola;08.08.1989;Vähittäismyyntilupa/max. 5.5 %;0290914-6
K-Market Kärki;Toritaival 2;60200;Seinäjoki;Seinäjoki;01.07.2022;Vähittäismyyntilupa/max. 5.5 %;2807082-8
K-Market Kärrytie;Kärrytie 6;16300;Orimattila;Orimattila;02.10.2017;Vähittäismyyntilupa/max. 5.5 %;1644367-4
K-Market Könönpelto;Kurolantie 1;78500;Varkaus;Varkaus;01.04.2023;Vähittäismyyntilupa/max. 5.5 %;3339277-6
K-Market Laaksolahti;Laaksolahdentie 41;02730;Espoo;Espoo;01.12.2021;Vähittäismyyntilupa/max. 5.5 %;3180626-9
K-Market Lahela;Lahelantie 280;04330;Lahela;Tuusula;18.02.2023;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Lamminpää;Ylöjärventie 18;33420;Tampere;Tampere;01.10.2020;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Lampinen;Siltatie 2;17240;Kalkkinen;Asikkala;01.01.1969;Vähittäismyyntilupa/max. 5.5 %;0416712-3
K-Market Lampintori;Ullavantie 11;69300;Toholampi;Toholampi;19.06.2016;Vähittäismyyntilupa/max. 5.5 %;2762761-2
K-Market Landen;Kauppakuja 1;09430;Saukkola;Lohja;05.04.1979;Vähittäismyyntilupa/max. 5.5 %;0545368-2
K-Market Lansa;Lansantie 23;02630;Espoo;Espoo;11.06.2018;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Lapinpata;Meijeritie 2;27230;LAPPI;Rauma;01.09.2021;Vähittäismyyntilupa/max. 5.5 %;3219570-3
K-Market Lappeentie;Lappeentie 41;55100;Imatra;Imatra;25.03.2021;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Lappeentie;Lappeentie 41;55100;Imatra;Imatra;30.04.2023;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Lappfjärd;Lapväärttintie 713;64300;Lapväärtti;Kristiinankaupunki;01.01.2018;Vähittäismyyntilupa/max. 5.5 %;2868842-5
K-Market Lastula;Kyläkarviantie 10;39930;Karvia;Karvia;01.06.2007;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Latokartano;Von Daehnin katu 1;00790;Helsinki;Helsinki;20.11.2017;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Launonen;Kartanontie 7;12540;Launonen;Loppi;21.05.2018;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Laurinkatu;Laurinkatu 47;08100;Lohja;Lohja;21.08.2017;Vähittäismyyntilupa/max. 5.5 %;2220655-2
K-Market Lautia;Vajokkaantie 4;94500;Lautiosaari;Keminmaa;01.03.2014;Vähittäismyyntilupa/max. 5.5 %;2598382-4
K-Market Lempäälä;Tampereentie 18;37500;Lempäälä;Lempäälä;04.06.2008;Vähittäismyyntilupa/max. 5.5 %;1643626-3
K-Market Lihatehdas;Vuoksenniskantie 37;55800;Imatra;Imatra;01.04.2023;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Liikenne Isko Oulu;Iskontie 1;90550;Oulu;Oulu;17.08.2015;Vähittäismyyntilupa/max. 5.5 %;2304678-1
K-Market Liikenne Laanila Oulu;Nokkalantie 3;90500;Oulu;Oulu;01.02.2010;Vähittäismyyntilupa/max. 5.5 %;2304678-1
K-Market Liila;Martinsillantie 10;02270;Espoo;Espoo;18.12.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Linjuri;Läntinen Pitkäkatu 17;20100;Turku;Turku;26.12.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market LinnanHerkku;Uusikatu 22;90100;Oulu;Oulu;01.09.2021;Vähittäismyyntilupa/max. 5.5 %;3220760-4
K-Market Linnavuori;Linnavuorentie 15;37240;Linnavuori;Nokia;11.09.2021;Vähittäismyyntilupa/max. 5.5 %;2833709-4
K-Market Lippis;Tuumakatu 1;74130;Iisalmi;Iisalmi;31.07.1987;Vähittäismyyntilupa/max. 5.5 %;0665344-0
K-Market Littoinen;Uusi-Littoistentie 48;20660;Littoinen;Kaarina;05.12.2018;Vähittäismyyntilupa/max. 5.5 %;2949720-9
K-Market Lohikoski;Tyyppäläntie 16;40250;Jyväskylä;Jyväskylä;28.11.2016;Vähittäismyyntilupa/max. 5.5 %;2152589-3
K-Market Lohjanportti;Seisaketie 1;08680;Lohja;Lohja;04.01.2023;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Lohtaja;Menninkäisentie 1;87700;Kajaani;Kajaani;01.04.2019;Vähittäismyyntilupa/max. 5.5 %;2982640-4
K-Market Loppi;Kauppatie 7;12700;Loppi;Loppi;11.06.2018;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Luoto;Alahangantie 3;28190;Pori;Pori;05.03.2023;Vähittäismyyntilupa/max. 5.5 %;2986835-6
K-Market Luotsipoika;Kuivalahdentie 1;29100;Luvia;Eurajoki;18.09.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Lähdetie;Lähdetie 2;37500;Lempäälä;Lempäälä;16.04.2018;Vähittäismyyntilupa/max. 5.5 %;1643626-3
K-Market Lähemäki;Juvantie 13;50170;Mikkeli;Mikkeli;01.03.2020;Vähittäismyyntilupa/max. 5.5 %;3113485-3
K-Market Länsi-Koskela;Puistokatu 10;35800;Mänttä;Mänttä-vilppula;01.03.2021;Vähittäismyyntilupa/max. 5.5 %;3184292-1
K-Market Länsimäki;Suunnistajankuja 2;01280;Vantaa;Vantaa;01.04.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Lönkan Herkku;Albertinkatu 27;00180;Helsinki;Helsinki;10.08.2017;Vähittäismyyntilupa/max. 5.5 %;2778976-9
K-Market Lönnrotinkatu;Lönnrotinkatu 12;00120;Helsinki;Helsinki;13.02.2017;Vähittäismyyntilupa/max. 5.5 %;2778976-9
K-Market Makasiini;Satamakatu 36;70100;Kuopio;Kuopio;09.10.2017;Vähittäismyyntilupa/max. 5.5 %;2516634-9
K-Market Makkolankatu;Makkolankatu 10;87150;Kajaani;Kajaani;14.05.2018;Vähittäismyyntilupa/max. 5.5 %;2899392-1
K-Market Malax;Pb 12  Viasvägen 99;66140;Övermalax;Maalahti;03.06.1993;Vähittäismyyntilupa/max. 5.5 %;9210363-9
K-Market Malminkartano;Pihkatie 6;00410;Helsinki;Helsinki;27.01.2021;Vähittäismyyntilupa/max. 5.5 %;2816256-2
K-Market Mansku;Mannerheimintie 94;00250;Helsinki;Helsinki;09.01.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Manu;Parolantie 8;13130;Hämeenlinna;Hämeenlinna;04.11.2001;Vähittäismyyntilupa/max. 5.5 %;1722907-1
K-Market Marjapaikka;Rutakontie 34;74300;Sonkajärvi;Sonkajärvi;01.10.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Marketor;Raatihuoneenkatu 6;68600;Pietarsaari;Pietarsaari;13.03.2022;Vähittäismyyntilupa/max. 5.5 %;2089797-8
K-Market Markkamäki;Lossintie 44;44120;Äänekoski;Äänekoski;27.11.2017;Vähittäismyyntilupa/max. 5.5 %;1525757-0
K-Market Martinmylly;Martinkatu 5;20810;Turku;Turku;01.10.2021;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Martinniemi;Kurtintie 2;90850;Martinniemi;Oulu;12.06.2017;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Martti;Sillankorvankatu 66;05800;Hyvinkää;Hyvinkää;23.10.2017;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Masala;Tinankuja 1;02430;Masala;Kirkkonummi;04.12.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Matinkylä;Leenankuja 4;02230;Espoo;Espoo;01.07.2020;Vähittäismyyntilupa/max. 5.5 %;3139693-3
K-Market Matkompis;Hertsbölevägen 1;25900;Taalintehdas;Kemiönsaari;12.11.2018;Vähittäismyyntilupa/max. 5.5 %;2941559-2
K-Market Mattila;Kurjentie 67;53650;Lappeenranta;Lappeenranta;27.03.2022;Vähittäismyyntilupa/max. 5.5 %;2772174-8
K-Market Maukas;Keskuskatu 46;37830;Akaa;Akaa;01.04.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Maununkatu;Maununkatu 9;37100;Nokia;Nokia;04.06.2018;Vähittäismyyntilupa/max. 5.5 %;0841349-1
K-Market Meclu;Mechelininkatu 19;00100;Helsinki;Helsinki;08.03.2020;Vähittäismyyntilupa/max. 5.5 %;3118690-1
K-Market Meirami;Vanhatie 52;91600;Utajärvi;Utajärvi;14.07.2008;Vähittäismyyntilupa/max. 5.5 %;2200433-6
K-Market Mellilä;Melliläntie 103;32300;Mellilä;Loimaa;04.01.2019;Vähittäismyyntilupa/max. 5.5 %;2956775-6
K-Market Mellunmäki;Rukatunturintie 2;00970;Helsinki;Helsinki;29.05.2017;Vähittäismyyntilupa/max. 5.5 %;2829257-8
K-Market Meltola;Vallinkoskentie 2;55100;Imatra;Imatra;29.01.2021;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Meltola;Vallinkoskentie 2;55100;Imatra;Imatra;23.04.2023;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Merikarvia;Eteläinen Rantatie 63;29900;Merikarvia;Merikarvia;17.04.2023;Vähittäismyyntilupa/max. 5.5 %;3348162-1
K-Market Merituuli;Lasimestarintie 12;67300;Kokkola;Kokkola;01.03.2023;Vähittäismyyntilupa/max. 5.5 %;3309168-2
K-Market Mesikämmen;Puustellintie 21;72400;Pielavesi;Pielavesi;07.03.2005;Vähittäismyyntilupa/max. 5.5 %;1939608-4
K-Market Messi;Ouluntie 29;94700;Kemi;Kemi;01.12.2016;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Mestari;Tammelan Puistokatu 26-28;33100;Tampere;Tampere;09.07.2017;Vähittäismyyntilupa/max. 5.5 %;2316542-2
K-Market Metsokangas;Hevosmiehentie 4;90420;Oulu;Oulu;08.04.2018;Vähittäismyyntilupa/max. 5.5 %;2898196-3
K-Market Mikael;Rauhankatu 19-21;20100;Turku;Turku;21.08.2017;Vähittäismyyntilupa/max. 5.5 %;1543789-7
K-Market Mikkola;Marsinrinne 8;01480;Vantaa;Vantaa;19.02.2021;Vähittäismyyntilupa/max. 5.5 %;2318088-4
K-Market Moikoinen;Pitkäpellonkatu 2;20900;Turku;Turku;01.06.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Moisio;Mittumaarintie 73;20400;Turku;Turku;03.12.2019;Vähittäismyyntilupa/max. 5.5 %;3092216-1
K-Market Muikku;Posiontie 26;97900;Posio;Posio;19.03.2014;Vähittäismyyntilupa/max. 5.5 %;2480839-7
K-Market Munckinkatu;Munckinkatu 37;05820;Hyvinkää;Hyvinkää;30.10.2017;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Munkkiniemi;Munkkiniemen puistotie 19;00330;Helsinki;Helsinki;01.07.2018;Vähittäismyyntilupa/max. 5.5 %;2916471-1
K-Market Murtosenmutka;Kotkantie 1;28200;Pori;Pori;04.04.2019;Vähittäismyyntilupa/max. 5.5 %;2986835-6
K-Market Museokatu;Museokatu 40;00100;Helsinki;Helsinki;28.05.2020;Vähittäismyyntilupa/max. 5.5 %;3118690-1
K-Market Muskotti;Rantalantie 13;81720;Lieksa;Lieksa;14.06.2021;Vähittäismyyntilupa/max. 5.5 %;3207393-3
K-Market Mussalo;Harjantauksentie 11;48310;Kotka;Kotka;17.06.2004;Vähittäismyyntilupa/max. 5.5 %;1705266-7
K-Market Mustalahti;Runttimäentie 8;35820;Mänttä;Mänttä-vilppula;01.03.2021;Vähittäismyyntilupa/max. 5.5 %;3184292-1
K-Market Mustikka;Valtakatu 13;84100;Ylivieska;Ylivieska;01.12.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Mustio;Askersintie 44;10360;Mustio;Raasepori;30.04.2018;Vähittäismyyntilupa/max. 5.5 %;2905816-9
K-Market Mutti;Haikolantie 18;85410;Sievi;Sievi;01.04.2020;Vähittäismyyntilupa/max. 5.5 %;2245157-4
K-Market Myllyhaka;Leipurinkatu 10;37130;Nokia;Nokia;07.05.2018;Vähittäismyyntilupa/max. 5.5 %;0841349-1
K-Market Myllykoski;Keskikoskentie 5;46800;Myllykoski;Kouvola;01.06.2021;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Myllyoja;Karvarinaukio 7;90650;Oulu;Oulu;13.04.2023;Vähittäismyyntilupa/max. 5.5 %;3350497-7
K-Market Myllypadontie;Myllypurontie 22;00920;Helsinki;Helsinki;01.02.2022;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Myllytulli;Puusepänkatu 4;90130;Oulu;Oulu;01.04.2023;Vähittäismyyntilupa/max. 5.5 %;3220760-4
K-Market Mäkelänkatu;Mäkelänkatu 58-60;00510;Helsinki;Helsinki;01.03.2022;Vähittäismyyntilupa/max. 5.5 %;3260273-5
K-Market Mäntyveräjä;Veräjänkuja 1;36200;Kangasala;Kangasala;01.03.2019;Vähittäismyyntilupa/max. 5.5 %;2974484-7
K-Market Mäyrämäki;Nääpikäntie 4;40640;Jyväskylä;Jyväskylä;16.10.2017;Vähittäismyyntilupa/max. 5.5 %;2824681-1
K-Market Möysä;Karjalankatu 43;15150;Lahti;Lahti;06.01.2018;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Nagu;Torgstigen 3;21660;Nauvo;PARAINEN;21.03.2018;Vähittäismyyntilupa/max. 5.5 %;2160790-1
K-Market Neilikka Naarajärvi;Seunalantie 2;76850;Naarajärvi;Pieksämäki;01.06.2016;Vähittäismyyntilupa/max. 5.5 %;1932962-3
K-Market Nekalankulma;Nekalankulma 5;33800;Tampere;Tampere;01.03.2018;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Neste Oil Salo Mariankatu;Mariankatu 17;24240;Salo;Salo;10.12.2011;Vähittäismyyntilupa/max. 5.5 %;2442431-8
K-Market Neulamuikku;Neulamäentie 28;70150;Kuopio;Kuopio;24.06.2010;Vähittäismyyntilupa/max. 5.5 %;2339009-9
K-Market Niemenranta;Tyyrpuurinlenkki 2;90460;Oulunsalo;Oulu;11.04.2022;Vähittäismyyntilupa/max. 5.5 %;3272739-4
K-Market Niiva;Kuhatie 12-14;54915;Saimaanharju;Taipalsaari;01.10.2022;Vähittäismyyntilupa/max. 5.5 %;3297827-3
K-Market Nilo;Tavajärventie 1;93600;Kuusamo;Kuusamo;01.04.2019;Vähittäismyyntilupa/max. 5.5 %;2983204-6
K-Market Noormarkku;Palotie 2;29600;Noormarkku;Pori;01.07.2022;Vähittäismyyntilupa/max. 5.5 %;3207976-1
K-Market Nousiainen;Moisiontie 2;21270;Nousiainen;Nousiainen;03.04.2019;Vähittäismyyntilupa/max. 5.5 %;2986260-8
K-Market Nuotta;Jääskeläntie 2;83700;Polvijärvi;Polvijärvi;03.05.2021;Vähittäismyyntilupa/max. 5.5 %;3199424-7
K-Market Nuppola;Hattelmalantie 35;13100;Hämeenlinna;Hämeenlinna;11.09.2022;Vähittäismyyntilupa/max. 5.5 %;2036064-4
K-Market Nurmo;Valkiavuorentie 2;60550;Nurmo;Seinäjoki;01.04.2020;Vähittäismyyntilupa/max. 5.5 %;3119997-2
K-Market Näätämö;Sevettijärventie 12200;99800;Ivalo;Inari;15.02.2018;Vähittäismyyntilupa/max. 5.5 %;1774494-6
K-Market Ojakkala;Enätie 24;03250;Ojakkala;Vihti;12.05.2019;Vähittäismyyntilupa/max. 5.5 %;2092203-7
K-Market Ojoinen;Ojoistenkatu 2-4;13600;Hämeenlinna;Hämeenlinna;01.02.2019;Vähittäismyyntilupa/max. 5.5 %;2964274-4
K-Market Ollikkala;Hämeenojankatu 7;24260;Salo;Salo;01.09.2021;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Ollinsaari;Pajuniityntie 8;92120;Raahe;Raahe;20.02.2017;Vähittäismyyntilupa/max. 5.5 %;2806645-8
K-Market Omppu;Nurmeksentie 36;80100;Joensuu;Joensuu;01.11.2021;Vähittäismyyntilupa/max. 5.5 %;3238745-7
K-Market Onnipekka;Kauppatie;29250;Nakkila;Nakkila;14.03.1981;Vähittäismyyntilupa/max. 5.5 %;0398861-6
K-Market Orippää;Rasinkuja 2;32500;Oripää;Oripää;25.03.2020;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Otaniemi;Otaniementie 12;02150;Espoo;Espoo;01.07.2022;Vähittäismyyntilupa/max. 5.5 %;3284517-1
K-Market Otava;Otavantie 1;50670;Otava;Mikkeli;01.09.2021;Vähittäismyyntilupa/max. 5.5 %;3223287-7
K-Market Otavankatu;Otavankatu 12;28100;Pori;Pori;03.04.2022;Vähittäismyyntilupa/max. 5.5 %;3256507-3
K-Market Ounasmetsä;Kivikaudentie 1;96400;Rovaniemi;Rovaniemi;01.04.2020;Vähittäismyyntilupa/max. 5.5 %;3121437-8
K-Market Paavola;Jussilankatu 5;05880;Hyvinkää;Hyvinkää;22.05.2017;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Pahkavuori;Rauhanlinnankaari 2;24100;Salo;Salo;05.09.2018;Vähittäismyyntilupa/max. 5.5 %;2921859-9
K-Market Palmu;Jyräänkatu 12-14;37600;Valkeakoski;Valkeakoski;30.10.2017;Vähittäismyyntilupa/max. 5.5 %;2179801-5
K-Market Paprika;Ouluntie 7;89200;Puolanka;Puolanka;02.05.2023;Vähittäismyyntilupa/max. 5.5 %;3226244-3
K-Market Paprika;Ouluntie 7;89200;Puolanka;Puolanka;04.03.2007;Vähittäismyyntilupa/max. 5.5 %;1573550-1
K-Market Partalanmäki;Väinöläntie 4;81700;Lieksa;Lieksa;13.11.2017;Vähittäismyyntilupa/max. 5.5 %;0281101-8
K-Market Pasaati;Asemapäällikönkatu 3;00520;Helsinki;Helsinki;01.05.2018;Vähittäismyyntilupa/max. 5.5 %;2654276-4
K-Market Pasilan asema;Veturitie 11 A-4001;00520;Helsinki;Helsinki;17.10.2019;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Pateniemenranta;Pateniemenranta 3;90800;Oulu;Oulu;09.12.2021;Vähittäismyyntilupa/max. 5.5 %;2872420-3
K-Market Pattijoki;Puistotie 3;92140;Pattijoki;Raahe;01.09.2022;Vähittäismyyntilupa/max. 5.5 %;3298891-4
K-Market Pelimies;Tulliportinkatu 54;70100;Kuopio;Kuopio;11.09.2017;Vähittäismyyntilupa/max. 5.5 %;2830030-4
K-Market Pelkosenniemi;Sodankyläntie 8;98500;Pelkosenniemi;Pelkosenniemi;01.04.2022;Vähittäismyyntilupa/max. 5.5 %;3268443-5
K-Market Peltolammi;Peltolamminkatu 10;33840;Tampere;Tampere;06.11.2016;Vähittäismyyntilupa/max. 5.5 %;N/A
K-Market Peltosaari;Telluskatu 2;11130;Riihimäki;Riihimäki;15.01.2018;Vähittäismyyntilupa/max. 5.5 %;2130492-7
K-Market Perkkaa;Kirjurinkuja 2;02600;Espoo;Espoo;01.02.2019;Vähittäismyyntilupa/max. 5.5 %;2964288-3
